voidID radius(Mpc/h) ellip
2691 25.64 0.13001
3028 43.52 0.075448
2939 51.56 0.090885
857 35.54 0.123517
283 34.51 0.23046
3105 39.43 0.256923
3325 47.62 0.116133
1471 30.32 0.085666
2492 26.39 0.112043
1476 44.91 0.143401
1628 37.62 0.1213
1801 32.27 0.167464
826 36.32 0.146776
1813 34.05 0.152241
2672 39.65 0.073393
3145 39.74 0.130213
834 38.92 0.168524
2052 36.65 0.126391
1440 47.41 0.058152
306 34.24 0.09167
418 23.89 0.14645
1006 28.68 0.072436
1761 35.86 0.103255
3048 42.92 0.134798
2012 42.1 0.105345
1215 65.81 0.141754
2175 41.71 0.141694
366 23.35 0.161542
437 35.0 0.095327
202 31.54 0.097732
1279 40.55 0.096154
903 49.94 0.133166
2523 34.7 0.105274
2089 47.07 0.109388
778 34.44 0.105875
1968 53.09 0.128869
1305 28.81 0.121361
3399 28.28 0.072549
1669 43.48 0.122619
12 50.96 0.122431
1309 27.64 0.071213
2047 32.11 0.10875
1281 38.61 0.16127
3087 35.35 0.232896
1050 26.07 0.095918
888 24.77 0.094449
1377 37.7 0.138125
973 54.29 0.178006
55 42.75 0.104938
3116 28.36 0.097062
2693 35.5 0.082098
2217 40.43 0.117521
71 24.68 0.074079
3256 55.19 0.182445
1617 43.56 0.115313
2723 28.36 0.20493
3313 36.14 0.169225
508 38.57 0.126137
1869 30.17 0.205963
1577 39.36 0.137342
2756 50.89 0.182422
1203 34.92 0.106971
3245 38.24 0.228604
2148 34.06 0.197839
2377 32.59 0.14577
1888 33.37 0.131533
1803 43.96 0.102977
2526 29.59 0.134255
944 37.81 0.158577
2566 60.19 0.131045
1460 39.0 0.221947
2570 40.92 0.148381
2994 37.76 0.137278
1776 30.98 0.106886
1814 49.72 0.140486
947 29.72 0.178149
1709 42.9 0.081605
1329 46.67 0.130766
885 30.05 0.258162
1443 56.48 0.086015
985 53.43 0.129629
1939 30.57 0.151443
935 38.97 0.138436
866 30.36 0.046598
1269 36.94 0.085603
3381 32.72 0.148094
3260 32.59 0.245608
1209 46.61 0.083268
3007 28.71 0.107391
2721 26.85 0.136048
467 40.07 0.104351
765 34.16 0.104583
149 40.72 0.206737
565 61.52 0.079907
1028 17.74 0.166689
2617 32.14 0.131422
2608 39.02 0.051133
1542 42.65 0.141304
2917 44.12 0.120917
3004 27.96 0.174733
114 30.77 0.130929
2663 45.45 0.124436
1148 23.09 0.162805
2615 35.6 0.087113
3280 33.61 0.141453
2867 43.71 0.108477
384 33.35 0.169653
2775 48.93 0.160995
105 33.24 0.118463
2491 42.14 0.138055
605 46.16 0.076372
3338 38.68 0.151091
2224 36.16 0.120891
2895 36.0 0.157717
2083 35.21 0.207487
407 47.64 0.157784
2236 32.3 0.150314
379 23.65 0.090629
594 36.48 0.110356
2829 24.11 0.171464
1802 29.24 0.209187
2368 35.79 0.131888
652 41.38 0.107777
864 25.87 0.154925
955 36.5 0.101485
2561 38.78 0.161898
1318 50.21 0.114881
3431 20.14 0.138825
2126 37.05 0.125906
242 37.85 0.152573
3416 46.54 0.122686
171 31.14 0.139243
2757 44.26 0.148734
472 39.06 0.074629
2424 60.41 0.174421
3223 25.89 0.074004
2334 25.98 0.162908
80 29.18 0.130078
1240 39.92 0.086293
212 34.86 0.212094
334 36.23 0.1888
918 38.24 0.097992
376 39.66 0.233721
2181 32.81 0.151475
683 38.44 0.1376
1180 26.56 0.112697
2612 30.15 0.163343
3382 34.13 0.12384
572 29.1 0.052706
2048 42.19 0.126258
3219 26.9 0.209873
3254 27.23 0.084956
1014 35.06 0.086728
2623 39.85 0.098382
741 53.71 0.066106
380 44.09 0.037837
970 35.55 0.145477
2828 44.41 0.132163
2940 33.03 0.146466
663 50.1 0.108143
1194 25.42 0.276412
1447 28.42 0.117038
2619 24.52 0.187605
389 32.87 0.105988
2442 20.86 0.2468
1162 39.7 0.13774
1077 46.14 0.236784
1382 28.65 0.109955
3267 43.3 0.078694
159 43.95 0.177686
2728 41.04 0.20187
2961 58.03 0.106809
3286 40.35 0.155075
2362 40.29 0.200211
2716 29.01 0.078093
2806 16.85 0.234378
2363 29.86 0.139778
2360 18.8 0.126665
914 55.53 0.103683
17 34.53 0.118197
2159 27.71 0.110728
2173 41.15 0.319843
2689 43.21 0.171932
93 27.41 0.133298
2376 29.97 0.141363
1711 31.07 0.19362
674 23.24 0.125906
2854 32.64 0.192202
6 42.85 0.096929
587 30.18 0.138889
2724 68.31 0.148086
989 43.09 0.116343
794 25.22 0.124375
1903 28.89 0.070358
2647 30.91 0.111077
957 23.84 0.231051
521 28.3 0.119248
2415 33.87 0.099238
889 22.7 0.153718
2636 36.08 0.089209
1552 26.01 0.188135
2805 50.25 0.196786
423 33.02 0.196025
2123 43.98 0.104784
814 33.09 0.144491
1429 40.43 0.109068
1424 36.78 0.198899
2772 40.1 0.164695
775 32.4 0.130875
1957 38.18 0.153582
1742 46.95 0.076498
2609 29.48 0.110578
2993 24.36 0.131513
2946 43.99 0.123144
1208 39.67 0.109659
2419 36.54 0.074658
606 29.97 0.139726
664 28.35 0.180235
186 35.68 0.177426
2381 43.68 0.121686
398 43.26 0.081999
696 47.97 0.111689
3130 24.38 0.257563
2081 37.03 0.128117
993 36.07 0.20318
2575 28.86 0.178697
2741 38.0 0.225396
1691 42.55 0.245217
1000 21.86 0.177702
1522 27.4 0.177921
1953 21.32 0.121112
1878 25.84 0.281484
211 31.34 0.236238
3054 33.83 0.214111
3059 34.03 0.149854
3365 37.82 0.127058
3113 35.07 0.165779
1632 34.6 0.158682
2953 39.04 0.102758
2180 36.31 0.139085
2291 44.25 0.121807
636 20.61 0.10794
2577 31.53 0.07606
2900 32.62 0.201371
1368 39.72 0.149844
1421 38.42 0.119511
319 33.66 0.066568
838 46.25 0.150701
907 40.78 0.072284
1825 24.05 0.163439
101 23.63 0.244305
1093 39.7 0.208838
3426 45.01 0.122667
3227 35.98 0.089386
1135 52.95 0.148129
604 37.83 0.092113
199 37.67 0.104422
877 32.53 0.244602
714 38.37 0.076716
2574 35.84 0.152291
1984 34.38 0.1854
1212 27.26 0.153973
763 15.0 0.401929
2700 58.56 0.154807
1940 33.74 0.177288
562 32.45 0.097792
1132 39.14 0.085046
2763 26.1 0.196602
268 37.76 0.085109
390 44.95 0.102154
861 22.71 0.135038
2906 37.56 0.088028
1398 33.33 0.244859
2782 27.64 0.179196
603 44.02 0.126823
3112 43.71 0.126469
2797 31.06 0.152946
1677 22.04 0.161491
3042 41.1 0.061065
3100 29.3 0.139596
323 39.63 0.059584
601 28.06 0.08315
40 41.89 0.023477
179 29.09 0.127841
2295 34.95 0.146155
2880 35.67 0.057909
138 15.46 0.271502
264 33.1 0.074566
1503 26.69 0.189836
1717 24.21 0.189543
411 28.26 0.165476
2549 33.18 0.149689
3292 33.92 0.100295
2929 36.49 0.192706
2720 44.06 0.094654
1713 41.98 0.088586
236 37.96 0.160229
