415495 particles, 3457 voids.
Void# FileVoid# CoreParticle CoreDens ZoneVol Zone#Part Void#Zones VoidVol Void#Part VoidDensContrast VoidProb
110 1113 206836 1.100843e-01 3.119742e+02 289 1 3.119742e+02 289 1.995973 2.77e-03
111 805 173539 1.466085e-01 2.332727e+02 230 1 2.332727e+02 230 1.993814 2.81e-03
112 1131 208882 1.331458e-01 3.386528e+02 349 1 3.386528e+02 349 1.979150 3.13e-03
113 2837 367120 1.593151e-01 2.095543e+02 209 1 2.095543e+02 209 1.975985 3.20e-03
114 233 91142 1.792220e-01 1.794523e+02 213 1 1.794523e+02 213 1.972442 3.28e-03
115 3362 408299 1.173199e-01 3.357143e+02 315 1 3.357143e+02 315 1.971884 3.30e-03
116 2266 319759 1.233749e-01 4.053159e+02 383 3 8.078508e+02 702 1.969367 3.36e-03
117 2050 299108 1.412460e-01 2.998888e+02 296 1 2.998888e+02 296 1.967806 3.40e-03
118 1543 250922 1.229855e-01 5.688807e+02 524 1 5.688807e+02 524 1.967305 3.41e-03
119 375 115940 1.353425e-01 2.807974e+02 244 1 2.807974e+02 244 1.961950 3.54e-03
120 2916 374311 1.147379e-01 1.782800e+02 170 2 4.281074e+02 422 1.948894 3.89e-03
121 1067 202410 1.618766e-01 2.673350e+02 294 1 2.673350e+02 294 1.946664 3.95e-03
122 666 157129 1.252311e-01 8.605958e+02 694 1 8.605958e+02 694 1.938725 4.18e-03
123 1082 204122 1.296795e-01 3.041499e+02 290 1 3.041499e+02 290 1.933188 4.35e-03
124 1117 207287 1.208670e-01 3.257816e+02 325 2 7.051286e+02 674 1.931456 4.41e-03
125 3400 411009 1.406051e-01 1.951815e+02 200 1 1.951815e+02 200 1.929444 4.47e-03
126 1570 253302 1.243444e-01 1.761562e+02 149 3 4.918373e+02 434 1.925149 4.61e-03
127 3278 401611 1.563909e-01 3.292195e+02 296 1 3.292195e+02 296 1.919026 4.81e-03
128 1752 270510 1.621675e-01 2.802099e+02 318 1 2.802099e+02 318 1.918894 4.81e-03
129 694 159820 1.103824e-01 4.673785e+02 385 3 9.626585e+02 824 1.915069 4.95e-03
130 2006 294450 1.394287e-01 2.062330e+02 200 1 2.062330e+02 200 1.913618 5.00e-03
131 2095 303484 1.756387e-01 2.422802e+02 252 1 2.422802e+02 252 1.910528 5.11e-03
132 2795 362936 1.691374e-01 2.981375e+02 269 1 2.981375e+02 269 1.907412 5.22e-03
133 2007 294522 1.313875e-01 3.040368e+02 335 1 3.040368e+02 335 1.906983 5.23e-03
134 3108 388269 1.420136e-01 2.954597e+02 309 1 2.954597e+02 309 1.904144 5.34e-03
135 1796 273601 1.475817e-01 3.419663e+02 349 1 3.419663e+02 349 1.904103 5.34e-03
136 2005 294443 1.670061e-01 1.734181e+02 171 1 1.734181e+02 171 1.901948 5.42e-03
137 1263 222371 1.630085e-01 2.957251e+02 290 1 2.957251e+02 290 1.891998 5.81e-03
138 875 180676 1.566923e-01 1.795015e+02 169 1 1.795015e+02 169 1.891479 5.83e-03
139 530 139120 1.967742e-01 1.258231e+02 138 1 1.258231e+02 138 1.888750 5.94e-03
140 303 103575 1.739528e-01 3.043639e+02 320 1 3.043639e+02 320 1.888109 5.97e-03
141 2920 374749 1.158149e-01 7.852994e+02 676 2 9.658418e+02 850 1.885221 6.09e-03
142 1380 234199 1.938502e-01 8.049104e+01 89 1 8.049104e+01 89 1.882225 6.22e-03
143 706 161725 1.128900e-01 3.533124e+02 257 2 7.353114e+02 658 1.880451 6.29e-03
144 2346 325253 1.307072e-01 3.400293e+02 327 2 5.436389e+02 525 1.878884 6.36e-03
145 3435 414002 1.200016e-01 6.886305e+02 682 1 6.886305e+02 682 1.877145 6.44e-03
146 2676 352927 1.225878e-01 3.713544e+02 313 5 1.170092e+03 987 1.876539 6.47e-03
147 990 193303 1.673615e-01 3.742432e+02 383 1 3.742432e+02 383 1.876355 6.48e-03
148 724 163759 2.452157e-01 1.112633e+02 139 1 1.112633e+02 139 1.875962 6.49e-03
149 1091 205187 1.444682e-01 4.171197e+02 397 1 4.171197e+02 397 1.875890 6.50e-03
150 2220 314791 1.230576e-01 3.781712e+02 301 1 3.781712e+02 301 1.871817 6.68e-03
151 2739 359227 1.115374e-01 8.707149e+02 848 3 1.384603e+03 1307 1.865558 6.97e-03
152 567 145270 1.168639e-01 4.670540e+02 372 4 1.350112e+03 1153 1.860492 7.22e-03
153 1641 260346 2.195947e-01 9.924059e+01 131 1 9.924059e+01 131 1.859291 7.28e-03
154 1210 217733 1.550594e-01 1.229113e+02 134 1 1.229113e+02 134 1.858626 7.31e-03
155 1400 235047 1.264976e-01 4.138620e+02 374 2 6.038631e+02 549 1.858045 7.34e-03
156 2844 367856 2.031734e-01 1.046500e+02 138 1 1.046500e+02 138 1.856382 7.42e-03
157 2585 345083 1.821687e-01 1.052687e+02 110 1 1.052687e+02 110 1.856225 7.43e-03
158 2352 325884 1.098315e-01 2.608538e+02 191 2 5.148210e+02 405 1.853752 7.56e-03
159 348 112621 1.388460e-01 1.332754e+02 99 1 1.332754e+02 99 1.847007 7.91e-03
160 1092 205253 1.655601e-01 1.979273e+02 201 1 1.979273e+02 201 1.846131 7.96e-03
161 614 150830 1.154154e-01 1.226110e+03 1114 1 1.226110e+03 1114 1.846120 7.96e-03
162 3154 391312 1.107768e-01 8.413908e+02 667 1 8.413908e+02 667 1.838259 8.40e-03
163 1698 265417 2.024320e-01 1.459980e+02 171 1 1.459980e+02 171 1.837517 8.44e-03
164 1137 209261 1.740854e-01 2.503101e+02 248 1 2.503101e+02 248 1.836456 8.50e-03
165 1071 202599 2.128366e-01 1.487713e+02 207 1 1.487713e+02 207 1.835565 8.55e-03
166 2980 378974 1.665895e-01 1.338502e+02 131 1 1.338502e+02 131 1.831676 8.78e-03
167 1259 222069 1.477001e-01 3.769840e+02 411 1 3.769840e+02 411 1.829852 8.88e-03
168 3375 409439 1.271231e-01 2.897819e+02 243 1 2.897819e+02 243 1.827440 9.03e-03
169 2403 330199 2.233413e-01 1.305919e+02 178 1 1.305919e+02 178 1.826761 9.07e-03
170 1730 268552 1.170512e-01 4.373844e+02 323 3 1.559061e+03 1314 1.824447 9.21e-03
171 178 80392 1.788881e-01 1.832706e+02 159 1 1.832706e+02 159 1.823868 9.25e-03
172 3408 411778 1.657405e-01 2.075689e+02 189 1 2.075689e+02 189 1.821005 9.43e-03
173 2627 348245 1.467105e-01 1.921024e+02 164 1 1.921024e+02 164 1.820269 9.47e-03
174 1812 275645 1.518622e-01 1.802607e+02 139 1 1.802607e+02 139 1.818679 9.58e-03
175 832 176522 1.158121e-01 3.068619e+02 276 5 1.709055e+03 1414 1.814846 9.82e-03
176 2185 311464 1.908208e-01 1.693310e+02 211 1 1.693310e+02 211 1.812137 1.00e-02
177 478 132923 1.717099e-01 1.935926e+02 192 1 1.935926e+02 192 1.811487 1.00e-02
178 1935 288028 1.291260e-01 2.031901e+02 209 1 2.031901e+02 209 1.811366 1.01e-02
179 2214 314369 1.299326e-01 3.588055e+02 297 2 4.865242e+02 417 1.811225 1.01e-02
180 2481 336951 1.724466e-01 2.774010e+02 313 1 2.774010e+02 313 1.810348 1.01e-02
181 460 131174 1.709172e-01 1.471922e+02 151 1 1.471922e+02 151 1.810036 1.01e-02
182 1970 291897 1.554879e-01 4.453405e+02 407 1 4.453405e+02 407 1.808709 1.02e-02
183 480 133153 2.074073e-01 1.616860e+02 162 1 1.616860e+02 162 1.805024 1.05e-02
184 883 181369 1.210767e-01 3.121439e+02 279 1 3.121439e+02 279 1.802402 1.07e-02
185 2090 303152 1.971577e-01 1.182567e+02 118 1 1.182567e+02 118 1.795629 1.12e-02
186 2667 352073 1.162225e-01 3.748924e+02 373 2 5.176762e+02 498 1.795394 1.12e-02
187 1399 234913 2.117047e-01 8.583126e+01 123 1 8.583126e+01 123 1.793985 1.13e-02
188 1688 264616 1.916388e-01 2.522023e+02 292 1 2.522023e+02 292 1.791265 1.15e-02
189 3437 414055 1.273953e-01 5.677430e+02 574 2 9.675669e+02 966 1.789881 1.16e-02
190 2777 361816 1.185477e-01 3.026108e+02 219 2 4.863855e+02 359 1.786722 1.18e-02
191 136 68729 3.204423e-01 4.978552e+01 76 1 4.978552e+01 76 1.786353 1.19e-02
192 665 156933 2.089216e-01 8.479787e+01 110 1 8.479787e+01 110 1.785767 1.19e-02
193 2150 308319 3.983709e-01 1.600630e+01 23 1 1.600630e+01 23 1.785165 1.20e-02
194 1496 245445 2.613724e-01 5.784917e+01 87 1 5.784917e+01 87 1.784809 1.20e-02
195 239 91978 1.926501e-01 1.414603e+02 130 1 1.414603e+02 130 1.784345 1.20e-02
196 3347 406397 1.558954e-01 1.841720e+02 189 1 1.841720e+02 189 1.782894 1.21e-02
197 3161 392130 1.440182e-01 1.776734e+02 144 2 3.307855e+02 302 1.780593 1.23e-02
198 756 167463 1.148479e-01 5.697967e+02 579 1 5.697967e+02 579 1.780576 1.23e-02
199 2912 373562 1.313615e-01 4.163364e+02 348 3 1.309351e+03 1082 1.779334 1.24e-02
200 1233 219654 1.846009e-01 1.582469e+02 178 1 1.582469e+02 178 1.770635 1.31e-02
201 843 177210 1.684840e-01 1.282925e+02 153 1 1.282925e+02 153 1.770548 1.32e-02
202 1437 238765 1.446411e-01 1.792310e+02 187 1 1.792310e+02 187 1.770393 1.32e-02
203 2049 298888 1.975386e-01 7.816342e+01 96 1 7.816342e+01 96 1.769769 1.32e-02
204 2147 308200 1.765991e-01 2.500002e+02 268 1 2.500002e+02 268 1.767913 1.34e-02
205 1836 277802 1.210386e-01 5.847245e+02 467 4 1.068356e+03 962 1.765772 1.36e-02
206 692 159605 1.897411e-01 1.814017e+02 199 1 1.814017e+02 199 1.765327 1.36e-02
207 1220 218790 1.294788e-01 5.253123e+02 420 1 5.253123e+02 420 1.765296 1.36e-02
208 2532 340805 2.738624e-01 8.221428e+01 114 1 8.221428e+01 114 1.765174 1.36e-02
209 1226 219207 1.225108e-01 7.145637e+02 599 1 7.145637e+02 599 1.761088 1.40e-02
210 717 163061 1.175585e-01 2.345769e+02 234 1 2.345769e+02 234 1.761083 1.40e-02
211 3156 391333 1.498178e-01 2.365087e+02 244 1 2.365087e+02 244 1.760679 1.40e-02
212 1090 205157 2.482549e-01 1.020247e+02 118 1 1.020247e+02 118 1.759715 1.41e-02
213 2370 327306 1.910950e-01 1.307846e+02 140 1 1.307846e+02 140 1.759356 1.42e-02
214 2146 308130 1.171152e-01 4.519726e+02 402 3 1.042877e+03 884 1.757350 1.43e-02
215 1156 211088 1.371744e-01 1.676034e+02 151 1 1.676034e+02 151 1.755005 1.46e-02
216 3110 388568 1.432938e-01 2.791232e+02 260 1 2.791232e+02 260 1.754311 1.46e-02
217 288 101421 1.438394e-01 5.545312e+02 502 1 5.545312e+02 502 1.753644 1.47e-02
218 434 127214 1.670101e-01 3.121959e+02 265 1 3.121959e+02 265 1.753610 1.47e-02
219 180 80581 1.698757e-01 2.789841e+02 316 1 2.789841e+02 316 1.753021 1.47e-02
220 1718 267413 1.619516e-01 3.602732e+02 361 1 3.602732e+02 361 1.752822 1.48e-02
