415495 particles, 3454 voids.
Void# FileVoid# CoreParticle CoreDens ZoneVol Zone#Part Void#Zones VoidVol Void#Part VoidDensContrast VoidProb
258 3076 385785 0.185458 138.249802 118 1 138.249802 118 1.714123 0.018900
259 2991 379848 0.138488 398.462585 429 2 513.895325 573 1.713528 0.019000
260 3341 405595 0.131002 375.979889 396 1 375.979889 396 1.712827 0.019100
261 461 131223 0.188985 100.635902 102 1 100.635902 102 1.712383 0.019100
262 2 11845 0.250312 42.376221 41 1 42.376221 41 1.711471 0.019200
263 1397 234859 0.130349 581.586487 548 1 581.586487 548 1.710190 0.019400
264 125 66752 0.226583 173.528503 191 1 173.528503 191 1.709966 0.019400
265 767 168641 0.124703 377.920685 391 1 377.920685 391 1.708308 0.019600
266 994 193498 0.135281 146.240402 133 1 146.240402 133 1.707687 0.019700
267 3097 387464 0.174003 155.265106 144 1 155.265106 144 1.706510 0.019800
268 2966 378357 0.154419 270.629395 260 1 270.629395 260 1.704758 0.020100
269 446 128448 0.134136 306.677002 275 1 306.677002 275 1.704705 0.020100
270 2443 333719 0.180789 124.400299 106 1 124.400299 106 1.703664 0.020200
271 1806 275414 0.178266 122.553001 113 1 122.553001 113 1.703425 0.020200
272 688 159306 0.192044 178.879303 211 1 178.879303 211 1.700114 0.020700
273 86 53588 0.226794 121.274101 143 1 121.274101 143 1.700020 0.020700
274 2934 376077 0.225983 90.638908 117 1 90.638908 117 1.699152 0.020800
275 1625 258648 0.228196 89.845558 96 1 89.845558 96 1.697837 0.021000
276 2717 357619 0.195449 92.314041 108 1 92.314041 108 1.697499 0.021000
277 1532 250025 0.278747 76.628372 105 1 76.628372 105 1.695245 0.021300
278 1694 265234 0.158917 281.487305 292 1 281.487305 292 1.694755 0.021400
279 2955 377461 0.281882 55.444370 84 1 55.444370 84 1.694617 0.021400
280 3030 382895 0.128306 445.713104 329 3 864.781494 712 1.694073 0.021500
281 274 99773 0.185039 121.383797 116 1 121.383797 116 1.693315 0.021600
282 148 72792 0.197628 146.359207 183 1 146.359207 183 1.692155 0.021700
283 2630 348300 0.126223 841.341187 700 1 841.341187 700 1.691625 0.021800
284 1599 256188 0.126049 383.197510 327 2 667.940308 613 1.689534 0.022100
285 2152 308677 0.167953 256.522095 300 1 256.522095 300 1.688150 0.022300
286 2248 318357 0.218603 79.280647 85 1 79.280647 85 1.687684 0.022300
287 2847 368302 0.213062 90.929138 107 1 90.929138 107 1.686872 0.022500
288 2825 366127 0.168499 247.091293 208 1 247.091293 208 1.686755 0.022500
289 2130 306533 0.216843 129.667404 143 1 129.667404 143 1.686630 0.022500
290 1199 216998 0.153417 296.459808 264 1 296.459808 264 1.686587 0.022500
291 896 183397 0.150612 473.984802 377 1 473.984802 377 1.686145 0.022600
292 2098 303853 0.157653 99.895332 61 1 99.895332 61 1.684989 0.022700
293 3275 401514 0.171724 256.004211 322 1 256.004211 322 1.684417 0.022800
294 2722 358051 0.125042 343.909607 318 1 343.909607 318 1.682135 0.023100
295 1609 257099 0.297827 49.949188 59 1 49.949188 59 1.680607 0.023400
296 1952 290214 0.140012 245.046204 229 1 245.046204 229 1.679923 0.023500
297 3165 392337 0.156863 349.843903 337 1 349.843903 337 1.679546 0.023500
298 1026 197870 0.154100 217.856201 191 1 217.856201 191 1.678709 0.023600
299 2507 338670 0.194906 192.352493 207 1 192.352493 207 1.678418 0.023700
300 1789 272864 0.191383 214.878998 240 1 214.878998 240 1.677621 0.023800
301 1840 278650 0.204100 143.656906 147 1 143.656906 147 1.677233 0.023800
302 1961 291044 0.164037 234.872604 257 1 234.872604 257 1.675881 0.024000
303 3456 415444 0.170552 264.857208 273 1 264.857208 273 1.675639 0.024100
304 3058 384937 0.171862 277.769196 306 1 277.769196 306 1.674606 0.024200
305 528 138975 0.152387 253.044403 258 1 253.044403 258 1.674542 0.024300
306 1788 272707 0.274853 47.359798 46 1 47.359798 46 1.674195 0.024300
307 3127 389615 0.166547 454.292511 418 1 454.292511 418 1.674030 0.024300
308 3172 392989 0.155976 177.027405 205 1 177.027405 205 1.673168 0.024500
309 2941 376592 0.196920 240.716507 243 1 240.716507 243 1.673092 0.024500
310 108 60655 0.205812 206.218903 221 1 206.218903 221 1.671606 0.024700
311 535 139652 0.181398 152.411896 157 1 152.411896 157 1.670680 0.024800
312 2034 297549 0.121036 490.053802 430 1 490.053802 430 1.669593 0.025000
313 2713 357324 0.163428 136.202194 139 1 136.202194 139 1.665735 0.025600
314 1464 242610 0.123193 498.679688 422 2 824.514404 729 1.665464 0.025700
315 3302 403068 0.230174 71.702377 76 1 71.702377 76 1.665390 0.025700
316 1855 280350 0.223261 126.870903 141 1 126.870903 141 1.664587 0.025800
317 1638 260140 0.130366 273.212891 229 1 273.212891 229 1.664431 0.025800
318 695 159841 0.149749 513.457214 540 1 513.457214 540 1.663874 0.025900
319 2070 301244 0.147752 382.363098 490 1 382.363098 490 1.663150 0.026000
320 2789 362623 0.234747 150.667206 192 1 150.667206 192 1.660493 0.026500
321 779 169812 0.134125 332.016510 301 1 332.016510 301 1.657504 0.027000
322 3230 398319 0.173445 252.158798 264 1 252.158798 264 1.656609 0.027100
323 1379 234125 0.124506 374.833008 336 2 699.209106 638 1.655636 0.027300
324 2918 374613 0.227908 96.045692 102 1 96.045692 102 1.654007 0.027500
325 734 164579 0.268553 52.933071 70 1 52.933071 70 1.653098 0.027700
326 291 101616 0.154731 399.502899 391 1 399.502899 391 1.652107 0.027900
327 3246 399143 0.196159 180.884506 158 1 180.884506 158 1.651475 0.028000
328 2271 320042 0.200722 130.217102 116 1 130.217102 116 1.651399 0.028000
329 1634 259199 0.178299 344.543793 377 1 344.543793 377 1.650173 0.028200
330 2835 366917 0.248774 73.487007 80 1 73.487007 80 1.649757 0.028300
331 1834 277664 0.150368 170.638794 175 1 170.638794 175 1.649049 0.028400
332 2303 322039 0.160142 406.916809 392 1 406.916809 392 1.648590 0.028500
333 827 175781 0.160002 528.459900 481 1 528.459900 481 1.648553 0.028500
334 1858 280801 0.197381 159.440903 128 1 159.440903 128 1.646965 0.028800
335 588 147922 0.123682 203.309692 162 2 343.054688 299 1.646448 0.028900
336 2113 304721 0.149592 280.458008 260 1 280.458008 260 1.646296 0.028900
337 1038 199196 0.176352 258.824585 250 1 258.824585 250 1.640911 0.029800
338 2761 360556 0.214806 71.005341 78 1 71.005341 78 1.639803 0.030100
339 1165 213072 0.136789 314.243103 287 1 314.243103 287 1.639351 0.030100
340 3259 400504 0.145833 218.979599 210 1 218.979599 210 1.637531 0.030500
341 1052 200457 0.222639 168.696304 177 1 168.696304 177 1.637401 0.030500
342 1200 217040 0.295869 64.224007 112 1 64.224007 112 1.637167 0.030500
343 1931 287531 0.180093 300.563904 288 1 300.563904 288 1.635486 0.030900
344 203 83950 0.223506 183.231201 184 1 183.231201 184 1.635001 0.030900
